,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity,Avg_visibility,Avg_wind_speed,Max_wind_speed,PM10
0,20.1,28.4,15.7,54.0,6.0,3.0,5.4,106.0
1,20.8,28.3,12.9,45.0,6.3,1.1,5.4,97.4
2,21.4,29.0,13.7,45.0,6.3,0.4,3.5,105.33
3,21.0,28.7,17.0,65.0,6.3,3.1,5.4,74.04
4,20.4,27.6,16.2,61.0,5.5,1.3,5.4,63.57
5,20.7,28.4,15.1,47.0,6.3,0.9,3.5,73.78
6,20.3,28.5,15.7,51.0,6.3,0.7,3.5,73.78
7,21.1,27.2,15.0,51.0,6.3,3.5,5.4,73.78
8,20.6,28.2,15.2,58.0,6.3,3.1,5.4,73.78
9,21.4,28.4,17.8,73.0,4.8,3.0,5.4,46.09
10,21.2,25.9,19.4,88.0,4.0,1.3,3.5,32.87
11,22.6,27.4,19.0,78.0,5.3,2.8,7.6,70.85
12,22.9,29.2,18.5,70.0,5.5,2.6,7.6,95.43
13,23.1,28.9,18.9,68.0,6.3,0.9,3.5,100.45
14,23.4,29.3,19.0,66.0,4.8,1.1,3.5,81.11
15,23.1,30.7,16.4,43.0,6.3,1.5,5.4,240.22
16,23.3,31.4,16.4,36.0,6.9,0.9,3.5,209.88
17,23.7,31.9,16.3,35.0,6.9,0.9,3.5,227.64
18,23.6,32.2,16.2,44.0,6.3,1.5,5.4,257.84
19,23.2,31.2,17.3,61.0,5.6,1.1,3.5,320.42
20,25.2,30.5,19.2,50.0,6.9,1.5,37.0,136.93
21,24.3,31.7,18.6,50.0,6.3,0.4,3.5,224.42
22,24.8,31.9,19.5,49.0,5.5,2.4,3.5,165.65
23,24.0,32.1,19.0,48.0,6.3,2.2,5.4,143.58
24,23.1,31.2,17.3,54.0,6.6,2.8,5.4,121.61
25,24.8,29.9,18.0,44.0,6.9,1.3,3.5,160.21
26,26.2,32.5,19.6,50.0,6.9,1.9,3.5,106.25
27,26.9,33.2,20.2,50.0,7.4,0.6,3.5,85.61
28,26.4,33.4,22.3,59.0,5.5,3.0,5.4,124.97
29,24.9,33.5,20.5,58.0,6.3,2.4,5.4,136.22
30,24.9,31.3,18.7,51.0,6.9,2.4,5.4,131.56
31,24.6,30.7,18.9,55.0,6.9,2.8,5.4,178.67
32,24.6,31.5,19.7,52.0,6.9,2.8,5.4,178.67
33,25.3,31.7,19.6,49.0,6.3,3.1,5.4,178.67
34,25.4,33.4,18.7,46.0,6.9,1.9,3.5,178.67
35,25.7,33.2,18.8,43.0,6.3,1.5,5.4,139.65
36,26.7,34.3,19.5,44.0,6.9,0.6,3.5,148.97
37,27.8,35.4,22.7,57.0,6.3,2.4,5.4,137.48
38,28.3,34.3,24.4,58.0,5.5,3.9,7.6,160.44
39,26.2,34.4,22.4,66.0,6.3,2.2,3.5,148.39
40,29.0,35.2,23.3,46.0,7.4,3.1,3.5,208.1
41,28.8,35.4,23.5,41.0,6.9,0.4,3.5,186.95
42,29.2,36.0,24.7,45.0,6.9,1.1,3.5,150.38
43,27.8,35.8,22.8,40.0,6.9,3.0,5.4,182.49
44,27.7,35.0,21.2,33.0,6.9,1.3,3.5,167.65
45,27.8,35.1,20.7,33.0,6.9,2.8,5.4,174.52
46,28.0,35.0,23.0,44.0,6.9,1.3,3.5,154.44
47,28.3,34.8,23.2,43.0,7.7,0.4,3.5,146.6
48,28.4,35.3,23.5,46.0,6.9,1.1,3.5,146.6
49,28.6,35.5,23.8,46.0,6.9,2.2,5.4,195.21
50,29.0,35.4,24.3,53.0,7.4,1.9,5.4,215.5
51,28.7,36.3,23.1,60.0,6.9,1.3,3.5,769.09
52,28.6,35.3,24.5,55.0,6.9,2.8,3.5,199.27
53,30.4,37.2,25.1,50.0,6.9,2.8,7.6,210.14
54,31.2,37.0,25.4,45.0,6.9,2.2,7.6,258.7
55,30.7,37.4,25.8,49.0,7.7,3.0,5.4,229.52
56,29.8,36.6,24.6,51.0,6.9,2.4,5.4,172.76
57,30.4,36.8,24.8,49.0,6.9,2.8,5.4,182.61
58,30.3,37.0,24.3,46.0,6.9,3.1,7.6,135.76
59,27.5,39.2,23.2,64.0,6.9,1.1,5.4,107.34
60,29.0,37.1,22.8,48.0,7.7,1.5,5.4,79.47
61,29.6,35.5,23.4,39.0,6.9,2.2,7.6,79.47
62,30.5,36.6,24.4,41.0,6.9,1.3,3.5,79.47
63,29.3,37.3,24.7,51.0,6.9,3.0,5.4,79.47
64,29.8,36.6,24.5,47.0,7.7,2.2,3.5,79.47
65,27.2,34.6,21.0,62.0,6.3,0.7,5.4,79.47
66,25.6,33.7,21.4,72.0,6.3,3.1,9.4,79.47
67,27.4,34.0,21.0,58.0,6.9,0.4,3.5,79.47
68,28.3,34.6,22.3,57.0,6.9,0.2,1.9,79.47
69,28.9,34.6,23.5,58.0,6.9,0.9,3.5,79.47
70,28.8,35.1,24.6,51.0,6.9,0.0,7.6,79.47
71,24.6,28.9,20.0,78.0,6.9,3.9,5.4,79.47
72,25.3,30.0,19.6,78.0,6.9,5.6,9.4,79.47
73,26.1,32.2,20.9,70.0,6.6,5.0,7.6,79.47
74,27.6,34.0,22.8,63.0,6.9,4.8,7.6,79.47
75,27.9,33.2,22.2,63.0,6.9,3.7,7.6,79.47
76,26.5,33.8,23.2,70.0,6.9,3.0,7.6,79.47
77,25.3,31.2,22.2,76.0,6.9,3.9,7.6,79.47
78,25.4,31.5,21.5,75.0,6.9,5.0,7.6,79.47
79,24.4,33.3,21.0,82.0,6.9,3.9,5.4,79.47
80,25.5,30.2,21.0,78.0,6.9,3.9,7.6,79.47
81,25.7,31.4,21.6,79.0,6.9,3.5,5.4,79.47
82,24.5,30.9,22.0,81.0,6.3,5.2,7.6,79.47
83,24.6,30.4,21.4,77.0,7.7,5.2,7.6,79.47
84,22.5,29.6,20.6,86.0,6.9,5.6,7.6,79.47
85,23.6,27.7,20.1,75.0,6.9,5.6,11.1,79.47
86,23.7,29.2,20.7,74.0,6.9,4.6,11.1,79.47
87,23.7,28.2,20.8,78.0,6.9,4.1,7.6,101.5
88,23.3,29.9,20.0,82.0,6.3,5.0,7.6,88.71
89,22.7,28.5,20.4,82.0,6.9,4.6,7.6,53.44
90,21.2,27.5,19.3,85.0,6.3,5.9,7.6,53.44
91,23.3,26.5,19.7,78.0,6.9,5.6,7.6,53.44
92,22.5,28.2,20.8,84.0,6.9,5.7,7.6,94.72
93,23.2,27.6,20.2,80.0,6.3,8.3,11.1,78.57
94,23.8,28.2,19.9,76.0,6.9,8.1,11.1,78.57
95,23.6,28.8,20.2,78.0,6.3,9.1,11.1,85.64
96,23.6,26.7,20.3,78.0,6.3,8.7,11.1,85.64
97,22.7,27.4,20.6,85.0,5.5,8.1,11.1,114.7
98,22.1,26.4,20.1,83.0,5.5,9.1,14.8,94.22
99,23.8,28.1,20.1,71.0,7.4,10.9,18.3,94.22
100,25.0,29.5,19.7,70.0,6.9,6.1,11.1,72.8
101,24.8,30.7,21.5,73.0,6.9,4.8,7.6,39.63
102,22.9,28.3,20.0,77.0,6.3,4.1,7.6,39.63
103,22.6,28.4,20.1,81.0,6.3,5.0,7.6,39.63
104,21.9,27.7,19.6,82.0,7.7,5.7,11.1,20.17
105,23.9,29.0,20.4,81.0,6.9,4.6,9.4,116.24
106,23.3,30.3,20.1,84.0,6.3,3.1,5.4,116.24
107,24.1,29.1,20.7,82.0,6.3,3.3,7.6,116.24
108,22.4,26.0,19.4,82.0,6.9,6.1,7.6,140.29
109,22.2,27.0,19.8,78.0,6.3,7.4,11.1,73.85
110,22.9,27.2,19.3,71.0,8.5,8.3,11.1,111.0
111,22.1,27.6,19.1,76.0,6.9,9.8,14.8,76.22
112,23.3,28.3,20.0,75.0,6.9,7.0,9.4,76.22
113,23.5,28.2,20.0,76.0,6.9,8.0,11.1,76.22
114,23.8,27.8,20.5,73.0,7.7,6.7,11.1,76.22
115,24.0,29.0,20.6,77.0,6.3,5.9,11.1,76.22
116,22.9,28.2,20.0,77.0,6.9,4.1,5.4,93.45
117,23.5,28.8,19.5,74.0,7.7,5.9,9.4,61.03
118,23.9,29.0,20.3,71.0,6.9,6.7,9.4,16.95
119,24.4,30.2,20.4,71.0,6.9,5.0,9.4,13.83
120,24.3,30.1,20.4,74.0,6.9,4.1,5.4,11.7
121,23.1,29.3,21.0,77.0,6.3,4.1,7.6,59.83
122,23.8,28.2,19.9,76.0,5.5,6.9,11.1,53.29
123,23.3,28.7,21.2,79.0,6.9,5.0,7.6,67.14
124,22.4,27.2,20.4,87.0,5.5,5.4,7.6,50.57
125,23.2,26.6,20.0,82.0,7.4,5.0,7.6,47.98
126,22.6,26.7,20.6,82.0,6.3,5.2,7.6,72.25
127,23.7,27.2,20.4,75.0,6.9,6.1,11.1,75.39
128,23.1,27.2,18.8,69.0,7.7,4.3,5.4,52.55
129,23.9,28.6,19.3,67.0,6.9,5.0,7.6,67.71
130,24.3,29.4,20.4,69.0,6.3,4.1,7.6,55.53
131,23.6,26.5,20.5,75.0,6.3,5.2,7.6,49.32
132,23.8,27.8,20.4,76.0,6.9,4.6,5.4,44.41
133,22.9,28.6,20.5,79.0,6.3,5.6,9.4,40.55
134,24.4,29.0,19.8,68.0,6.9,6.3,11.1,49.4
135,23.2,30.6,19.7,71.0,6.9,6.7,9.4,42.94
136,22.7,27.4,20.2,76.0,6.9,7.4,11.1,33.53
137,22.6,25.8,19.8,79.0,5.5,5.0,9.4,129.15
138,24.1,28.0,20.5,76.0,6.9,5.0,7.6,117.21
139,24.3,28.6,20.9,75.0,7.4,6.9,11.1,99.21
140,23.2,29.7,19.6,72.0,6.3,4.6,7.6,101.54
141,23.6,29.5,18.8,68.0,6.3,3.7,7.6,105.0
142,25.3,30.7,20.3,64.0,5.5,3.5,5.4,124.43
143,24.6,31.6,19.7,60.0,6.3,3.0,5.4,144.32
144,24.6,30.6,19.8,65.0,6.3,5.2,7.6,89.02
145,23.9,31.3,19.6,70.0,6.3,5.0,5.4,83.63
146,23.6,29.3,20.1,72.0,5.3,1.5,3.5,60.37
147,24.8,29.0,21.0,59.0,6.9,1.3,3.5,60.37
148,23.9,30.6,19.4,54.0,6.9,1.9,3.5,159.04
149,25.0,31.2,18.7,48.0,6.9,0.9,3.5,188.65
150,24.6,31.1,19.1,50.0,6.9,1.5,3.5,184.07
151,24.9,31.2,19.1,50.0,6.3,2.8,3.5,200.59
152,24.8,31.3,19.8,49.0,6.3,0.9,3.5,219.99
153,24.2,31.0,18.4,52.0,6.9,0.7,5.4,114.52
154,25.2,30.8,19.4,45.0,7.4,1.1,3.5,152.51
155,24.5,30.7,20.1,68.0,6.3,4.1,5.4,96.52
156,23.7,30.6,20.8,72.0,5.5,2.2,7.6,96.52
157,24.1,29.1,20.1,66.0,6.3,2.2,3.5,141.99
158,25.2,30.0,20.9,61.0,6.9,2.6,7.6,110.82
159,24.0,31.5,18.7,49.0,6.9,2.2,3.5,110.5
160,23.4,30.6,18.8,48.0,6.9,3.0,7.6,117.23
161,22.5,30.3,17.7,49.0,6.9,2.8,7.6,120.37
163,24.1,30.9,20.4,68.0,5.5,4.3,5.4,73.28
164,24.6,30.1,20.3,61.0,6.9,2.6,7.6,56.37
165,24.3,30.4,19.6,65.0,6.9,3.7,7.6,126.83
166,23.3,29.7,18.4,57.0,6.9,3.1,5.4,126.83
167,22.9,30.5,18.1,47.0,6.9,3.5,5.4,185.22
168,22.9,31.0,16.6,40.0,7.7,2.8,3.5,137.33
169,23.4,31.5,15.9,33.0,7.4,2.2,5.4,161.43
170,22.6,31.5,15.0,39.0,6.9,0.9,3.5,172.52
171,23.0,32.5,14.2,39.0,6.3,1.3,3.5,178.47
172,21.6,30.0,17.6,58.0,6.9,3.0,3.5,134.86
173,21.0,26.9,18.0,86.0,5.5,2.0,5.4,76.48
174,21.1,26.9,18.9,88.0,6.3,4.1,5.4,109.13
175,22.1,28.0,15.0,59.0,6.3,2.4,5.4,133.64
176,22.8,29.0,18.4,61.0,6.6,1.9,5.4,131.15
177,22.6,29.5,16.2,42.0,6.9,1.9,3.5,134.21
178,18.9,25.0,17.7,97.0,4.0,4.3,5.4,134.21
179,20.3,22.0,18.6,90.0,4.0,3.9,5.4,175.89
180,21.8,26.5,17.9,70.0,6.3,3.7,7.6,143.95
181,22.0,28.9,16.7,57.0,6.3,2.8,5.4,146.94
182,21.8,29.4,15.6,67.0,6.9,3.5,5.4,119.26
183,22.6,29.0,17.7,63.0,5.8,1.3,3.5,96.33
184,20.6,30.5,14.7,62.0,6.0,2.2,3.5,147.35
185,21.8,29.0,14.8,46.0,5.8,1.5,3.5,118.6
186,21.5,30.4,14.9,42.0,6.0,3.0,5.4,109.82
188,21.0,27.6,14.6,61.0,6.0,2.2,3.5,104.76
189,21.6,27.7,17.0,59.0,6.8,2.0,3.5,105.95
190,22.3,29.0,16.1,48.0,6.9,2.8,3.5,105.76
191,20.9,29.0,16.0,66.0,5.5,2.2,3.5,139.3
192,20.9,27.8,16.0,62.0,6.3,3.0,5.4,124.97
193,21.0,28.5,15.0,58.0,6.8,3.0,5.4,136.18
194,21.2,28.0,16.9,66.0,5.5,2.2,3.5,110.61
195,20.7,28.3,17.2,61.0,6.3,2.2,3.5,110.61
196,20.7,27.2,15.5,61.0,6.3,3.3,5.4,110.61
197,20.4,28.2,15.8,64.0,6.3,2.8,7.6,103.49
198,21.7,27.6,15.3,64.0,6.3,3.5,5.4,117.11
199,21.7,28.9,18.5,68.0,6.3,5.2,11.1,101.9
200,22.6,30.3,16.7,52.0,6.3,3.1,5.4,115.15
201,21.9,29.2,18.3,75.0,4.0,3.7,7.6,108.39
202,22.1,26.0,19.7,79.0,6.3,3.5,5.4,84.71
203,23.9,31.7,18.2,54.0,6.9,2.8,7.6,80.39
204,23.1,32.0,16.0,46.0,6.9,3.3,3.5,81.73
205,23.5,31.5,16.4,40.0,7.7,3.1,3.5,82.83
206,22.7,31.7,16.7,50.0,6.9,3.1,5.4,94.46
207,23.9,30.9,16.1,36.0,6.9,3.1,5.4,102.99
208,23.8,32.2,16.6,37.0,6.3,3.0,7.6,92.4
209,23.4,32.0,15.8,35.0,6.9,3.1,5.4,102.36
210,22.1,29.6,15.8,54.0,6.9,4.3,5.4,72.32
211,22.6,28.8,17.4,61.0,6.3,3.5,5.4,70.51
212,23.1,29.0,17.3,45.0,6.9,3.9,5.4,78.82
213,23.7,31.2,16.8,42.0,6.9,1.5,5.4,107.97
214,24.6,31.8,17.7,38.0,6.3,1.9,3.5,117.85
215,25.9,33.4,19.3,41.0,6.3,2.4,5.4,125.03
216,26.7,35.5,19.0,31.0,5.5,1.9,3.5,86.26
217,25.8,34.9,20.0,41.0,6.9,3.3,5.4,90.68
218,24.3,33.3,19.1,36.0,6.9,4.3,9.4,85.35
219,24.2,32.5,16.9,29.0,6.9,3.3,7.6,95.07
220,24.4,32.0,15.7,33.0,6.9,3.9,5.4,83.99
221,25.8,32.0,18.2,43.0,6.9,3.0,5.4,91.47
222,26.2,33.1,21.5,60.0,6.9,3.0,5.4,81.42
223,25.6,33.8,21.1,62.0,6.9,0.4,3.5,86.62
224,26.7,32.5,21.2,54.0,6.9,2.8,5.4,95.11
225,26.6,34.3,22.2,57.0,6.9,3.3,3.5,59.01
226,25.2,34.0,22.0,67.0,6.9,3.1,5.4,71.33
227,25.3,30.4,20.8,57.0,6.9,3.9,7.6,63.24
228,28.0,35.0,22.4,45.0,6.9,3.1,5.4,80.9
229,28.0,36.0,23.2,48.0,6.9,3.0,5.4,52.97
230,27.4,34.8,22.4,49.0,6.9,2.4,3.5,94.31
231,28.1,35.6,20.6,25.0,6.9,1.9,3.5,112.87
232,28.6,37.2,21.6,28.0,6.9,2.8,5.4,117.85
233,28.3,36.1,21.2,28.0,6.9,2.4,5.4,115.52
234,29.2,35.4,22.1,30.0,6.9,2.8,5.4,96.81
235,28.6,35.8,22.5,34.0,6.9,2.8,5.4,108.74
236,28.9,36.3,21.9,40.0,6.9,3.1,3.5,103.27
237,29.4,35.6,23.5,39.0,6.9,3.9,5.4,106.14
238,28.6,35.5,22.5,49.0,6.9,3.0,5.4,81.29
239,30.1,36.0,24.5,39.0,6.9,3.5,5.4,103.36
240,29.4,36.5,24.4,43.0,8.5,3.5,3.5,88.21
241,29.3,37.0,24.0,31.0,6.9,1.9,3.5,105.05
242,28.8,36.5,23.2,36.0,6.9,4.1,7.6,104.14
243,29.0,35.6,22.6,38.0,6.9,3.9,5.4,104.16
244,28.9,35.6,23.5,53.0,6.9,4.1,5.4,82.71
245,26.6,35.7,23.0,65.0,6.9,4.3,7.6,53.56
246,26.9,35.2,21.7,60.0,6.3,4.4,5.4,80.09
247,27.5,37.0,22.6,53.0,6.9,4.8,7.6,42.03
248,28.7,37.0,22.5,47.0,6.9,1.3,3.5,121.81
249,29.1,35.6,24.0,48.0,6.9,3.0,5.4,97.25
250,26.8,35.6,20.5,48.0,6.9,3.9,9.4,79.21
251,27.6,35.1,22.3,49.0,6.9,3.3,7.6,79.82
252,28.2,34.2,23.3,51.0,6.9,2.8,3.5,86.55
253,27.3,36.6,21.0,55.0,6.3,3.1,7.6,74.7
254,26.9,37.0,20.8,59.0,6.9,2.8,3.5,55.42
255,26.0,33.2,22.5,67.0,6.9,3.1,7.6,56.42
256,28.1,33.0,23.7,60.0,6.9,2.0,5.4,74.89
257,27.1,33.8,22.5,63.0,6.9,5.0,7.6,70.19
258,27.1,35.0,21.8,58.0,6.3,6.9,18.3,50.06
259,26.2,35.5,19.4,67.0,6.9,4.3,7.6,47.27
260,26.8,33.7,20.2,61.0,6.9,4.8,9.4,67.37
261,26.1,35.1,19.9,70.0,6.9,4.6,7.6,50.16
262,27.6,34.0,21.9,67.0,8.5,4.3,7.6,61.32
263,26.2,33.3,21.0,75.0,6.9,6.1,9.4,67.45
264,23.1,33.1,20.0,84.0,6.3,5.0,7.6,44.54
265,24.9,31.2,20.8,74.0,6.9,6.3,9.4,38.24
266,26.1,31.5,20.8,69.0,6.9,4.4,5.4,60.23
267,26.4,32.1,21.8,70.0,6.9,6.3,9.4,59.74
268,25.7,32.4,22.0,70.0,6.9,6.3,7.6,57.36
269,23.9,31.2,22.0,71.0,6.9,7.4,9.4,33.1
270,25.0,29.6,21.5,67.0,6.9,7.4,9.4,72.68
271,23.4,29.6,21.1,77.0,6.9,8.1,14.8,81.4
272,24.2,27.5,20.7,78.0,6.9,7.2,9.4,84.58
273,25.8,29.7,22.0,66.0,6.9,7.4,11.1,93.93
274,25.1,31.2,21.5,67.0,6.9,7.0,9.4,111.46
275,23.4,29.0,20.0,76.0,6.9,5.2,9.4,90.29
276,24.2,28.0,21.0,83.0,6.9,5.7,7.6,88.15
277,24.6,29.0,20.8,75.0,6.9,7.8,9.4,114.13
278,23.8,29.4,20.6,77.0,6.9,8.9,14.8,87.56
279,24.2,29.0,20.4,71.0,7.4,11.9,18.3,97.61
280,23.6,29.5,20.4,73.0,7.4,10.9,14.8,110.49
281,24.6,29.0,19.3,69.0,6.9,8.0,11.1,131.84
282,25.2,29.7,20.5,66.0,6.9,7.2,11.1,109.33
283,23.8,29.9,20.9,76.0,6.9,7.6,14.8,89.89
284,23.2,29.3,20.5,79.0,6.9,3.9,5.4,53.29
285,23.2,27.4,20.4,78.0,6.9,4.4,7.6,120.73
286,24.4,28.2,20.2,68.0,6.9,5.0,9.4,108.35
287,22.9,28.5,20.0,75.0,7.4,7.6,51.9,96.21
288,22.9,27.0,20.0,73.0,6.9,9.4,14.8,96.86
289,22.2,27.2,20.2,80.0,6.9,11.1,14.8,112.99
290,22.2,26.6,20.6,87.0,6.9,10.2,14.8,67.51
291,23.5,26.7,20.6,66.0,6.9,9.1,11.1,87.44
292,23.8,28.7,19.7,74.0,6.9,8.1,11.1,104.78
293,25.2,30.3,20.5,65.0,6.9,7.2,9.4,98.1
294,25.4,30.5,20.5,64.0,6.9,9.1,14.8,106.37
295,24.4,30.2,20.5,71.0,6.9,8.3,14.8,94.22
296,24.9,30.7,22.0,75.0,5.8,3.0,7.6,91.66
297,25.2,30.5,21.4,67.0,6.9,4.8,11.1,85.75
298,25.0,31.5,21.6,69.0,6.9,5.7,9.4,89.59
299,24.3,31.2,20.3,72.0,6.9,8.9,14.8,73.97
300,25.7,30.2,21.2,65.0,6.3,7.2,11.1,88.46
301,25.8,31.2,22.0,66.0,6.9,5.0,14.8,102.47
302,23.8,31.3,21.5,79.0,6.9,5.6,11.1,90.31
303,23.3,27.6,21.2,75.0,6.3,2.8,5.4,116.98
304,24.8,27.6,21.6,67.0,6.9,1.9,5.4,115.95
305,22.3,28.3,19.2,84.0,6.9,2.2,7.6,64.23
306,22.6,28.9,20.3,84.0,6.3,6.7,14.8,50.87
307,22.3,28.6,20.3,86.0,6.9,8.1,11.1,63.7
308,23.6,27.0,20.3,78.0,6.9,7.0,9.4,88.29
309,22.8,26.8,20.5,86.0,4.8,6.3,9.4,50.7
310,23.8,28.0,20.8,77.0,6.9,9.1,11.1,70.57
311,22.3,28.5,21.0,89.0,4.8,7.6,14.8,48.4
